Type,Age,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,State,PetID,PhotoAmt,AdoptionSpeed,NotAdopted,mixed_breed,multi_color,FeeAsked,photo,desc_length,desc_word_count
cat,24,female,White,2,3,3,3,3,2,6,Selangor,9a38d4275,1.0,1,0,0,0,0,1,134,25
dog,5,male,White,2,1,1,1,1,1,1,Kuala Lumpur,671ffc570,6.0,3,0,0,0,0,1,236,44
dog,12,male,Brown,2,2,2,1,1,1,1,Johor,aece6e7bf,2.0,4,1,1,1,0,1,223,51
dog,4,male,Black,2,1,2,2,2,1,2,Selangor,c1e816568,10.0,4,1,1,1,0,1,389,69
cat,5,male,Yellow,1,3,1,1,2,1,1,Selangor,22f6c0ac6,10.0,3,0,1,1,0,1,413,81
dog,72,female,Brown,2,1,1,1,1,1,1,Selangor,ea159d8da,3.0,4,1,1,1,0,1,273,51
dog,1,mixed,Black,2,1,3,3,2,1,9,Selangor,af1035c81,3.0,3,0,1,1,0,1,115,25
cat,60,male,Black,3,3,1,1,1,1,1,Selangor,0d25f084f,3.0,2,0,1,1,0,1,458,92
dog,1,female,Black,2,2,2,1,1,1,2,Selangor,6fecc5cf7,10.0,3,0,1,0,0,1,297,54
cat,6,male,Black,2,1,1,1,1,1,1,Kuala Lumpur,7fe8ef73d,1.0,4,1,1,1,1,1,89,17
dog,2,male,Brown,2,1,1,1,2,1,1,Selangor,015c75c9e,3.0,3,0,1,1,0,1,284,55
dog,12,female,Brown,2,2,1,1,1,1,2,Selangor,9609a0b86,5.0,4,1,1,0,0,1,990,185
dog,3,female,Brown,1,1,3,3,3,2,1,Selangor,c740abfe1,0.0,3,0,1,1,0,0,247,52
cat,3,mixed,Yellow,1,2,1,1,2,1,2,Kuala Lumpur,f6551137d,10.0,2,0,1,1,0,1,348,56
cat,5,male,Black,2,1,2,1,2,1,1,Selangor,8c131db77,4.0,4,1,1,1,1,1,613,123
dog,24,female,Cream,2,2,1,1,1,1,1,Selangor,d765ae877,2.0,2,0,1,0,0,1,134,27
dog,4,male,Cream,3,2,2,2,2,1,1,Selangor,8ce183889,3.0,1,0,1,0,0,1,113,22
cat,2,mixed,Black,1,1,3,3,3,1,6,Kuala Lumpur,9c0ddccc8,1.0,4,1,0,1,0,1,82,14
cat,1,female,Yellow,2,1,2,2,2,1,1,Selangor,f9df8656a,5.0,1,0,1,0,0,1,256,53
dog,9,male,Brown,2,1,1,1,3,1,1,Pulau Pinang,f0ef9c777,2.0,4,1,1,1,0,1,343,70
dog,60,female,Brown,2,1,2,2,1,1,1,Selangor,3181e5424,2.0,4,1,1,1,0,1,453,95
dog,2,male,Black,2,2,2,2,2,1,1,Pulau Pinang,9883a048e,5.0,2,0,1,1,0,1,148,27
dog,2,mixed,Black,2,3,1,1,2,1,7,Selangor,b0dec8779,10.0,3,0,0,1,0,1,738,126
dog,48,female,Brown,2,2,1,1,2,1,1,Selangor,e8d0907ae,5.0,1,0,0,1,0,1,28,5
cat,3,female,Brown,2,1,2,2,2,1,1,Melaka,e540c1ba5,1.0,4,1,1,0,0,1,35,7
cat,4,male,Black,1,1,2,1,2,1,2,Kuala Lumpur,4a4db4d32,1.0,2,0,1,1,0,1,361,66
cat,9,female,Brown,2,1,2,2,2,1,1,Kuala Lumpur,98a98311c,1.0,2,0,1,1,0,1,316,62
dog,62,male,Black,2,2,1,1,1,1,1,Kuala Lumpur,ef14861df,3.0,4,1,1,1,0,1,153,30
dog,36,female,Black,2,1,1,1,1,1,5,Selangor,a9bc357f0,1.0,4,1,1,1,0,1,269,50
dog,1,female,Black,2,2,2,1,2,1,1,Selangor,aaf4a1439,1.0,3,0,1,1,0,1,14,3
dog,2,male,Black,1,1,1,3,2,1,1,Kuala Lumpur,1e62e6022,5.0,1,0,0,1,0,1,228,45
dog,2,male,Black,1,1,1,1,2,1,1,Selangor,4e797dcdd,3.0,4,1,1,1,0,1,196,37
dog,1,mixed,Black,2,2,2,2,2,1,9,Pahang,45d2ddcb8,5.0,2,0,0,1,1,1,1827,317
dog,2,female,Brown,2,1,2,1,2,1,1,Johor,259b10a3e,1.0,0,0,1,1,0,1,146,30
dog,2,female,Black,3,1,1,1,2,1,2,Selangor,d2490c888,3.0,4,1,1,0,0,1,750,147
dog,12,female,Brown,2,1,1,1,1,1,1,Selangor,2c93c0c11,3.0,3,0,1,0,0,1,120,25
dog,2,male,Brown,2,2,1,1,2,1,1,Selangor,35593da00,5.0,1,0,1,0,0,1,12,2
dog,1,female,Brown,2,1,1,1,2,1,1,Selangor,4cc70e613,1.0,3,0,1,1,0,1,219,40
dog,2,female,Black,2,1,1,2,2,1,1,Pulau Pinang,ff125cf8d,1.0,4,1,1,1,0,1,212,36
dog,3,male,Black,1,3,1,1,3,1,1,Selangor,c30dd6e9a,2.0,1,0,0,1,2,1,239,50
dog,3,male,Black,2,2,2,1,2,1,1,Kedah,be9474b85,1.0,2,0,1,1,0,1,223,41
dog,3,male,Cream,2,2,3,3,2,1,1,Selangor,815f4cc08,3.0,3,0,1,0,0,1,92,16
cat,6,female,Cream,2,2,2,1,2,1,1,Selangor,ec5069cf6,4.0,3,0,1,1,1,1,122,23
dog,1,female,Black,2,2,2,2,2,1,2,Selangor,867308404,3.0,2,0,1,1,0,1,118,20
cat,47,female,Black,2,3,2,2,2,1,1,Selangor,e9df3ead7,2.0,4,1,0,1,0,1,135,29
dog,2,male,Black,3,2,3,3,3,1,1,Selangor,258667857,4.0,2,0,0,1,0,1,293,58
dog,12,female,Cream,2,2,1,1,1,1,1,Perak,fd3172797,10.0,3,0,1,0,0,1,1536,293
dog,2,male,Black,2,1,1,1,2,1,1,Selangor,8df0bb3b3,10.0,3,0,1,1,0,1,1278,234
dog,1,male,Brown,2,1,2,2,2,1,1,Perak,3d0752cd9,5.0,3,0,1,0,0,1,624,118
cat,1,mixed,Brown,1,2,2,2,2,1,2,Selangor,22051ab84,3.0,4,1,1,1,0,1,960,193
dog,1,mixed,Brown,2,1,2,2,2,1,5,Selangor,573b3ec3d,0.0,4,1,1,1,0,0,162,31
cat,24,male,Yellow,3,1,2,2,2,2,1,Melaka,370fe2afb,10.0,3,0,1,0,0,1,658,106
cat,24,female,Brown,2,1,2,2,1,1,1,Selangor,dd308e46b,1.0,4,1,1,1,0,1,26,4
dog,2,male,Black,2,1,2,2,2,1,1,Pulau Pinang,6a763a055,2.0,3,0,1,1,0,1,212,44
cat,19,female,Black,3,3,1,1,2,1,1,Kuala Lumpur,5e4154870,3.0,1,0,0,1,0,1,1,0
dog,4,female,Brown,1,3,3,1,1,1,1,Kuala Lumpur,a44d42407,3.0,3,0,0,0,0,1,188,33
dog,24,male,Brown,2,1,2,2,2,1,1,Johor,cc8401c02,3.0,3,0,1,1,0,1,85,16
cat,3,male,Black,2,2,3,3,2,1,1,Selangor,0f24b6cd6,1.0,1,0,1,1,0,1,18,3
cat,1,mixed,Cream,1,2,2,2,2,1,2,Kuala Lumpur,49bb70e36,1.0,2,0,1,1,0,1,203,42
dog,24,female,Black,2,2,3,3,1,1,1,Selangor,43ddb2eb4,2.0,2,0,0,1,0,1,434,84
dog,60,male,Gray,2,2,1,1,1,1,1,Kuala Lumpur,dae92dd61,3.0,4,1,0,0,0,1,237,45
dog,1,female,Black,2,2,1,1,2,1,1,Selangor,a6ac8884b,1.0,3,0,1,1,0,1,12,2
cat,3,female,Brown,1,1,1,1,2,1,1,Selangor,60ce9e319,7.0,1,0,1,1,0,1,610,110
cat,2,male,Golden,1,2,2,2,2,1,1,Kuala Lumpur,5247209aa,2.0,2,0,1,0,0,1,33,5
cat,1,mixed,Black,2,1,1,1,2,1,2,Kuala Lumpur,19b1f4263,3.0,0,0,1,1,1,1,303,58
dog,2,female,Black,2,1,2,2,2,1,1,Kuala Lumpur,d50e11ec5,2.0,3,0,1,1,0,1,117,24
cat,2,female,Gray,2,1,2,1,2,1,1,Kuala Lumpur,4407e70f3,2.0,1,0,1,1,0,1,135,22
dog,3,female,Brown,2,1,1,1,2,1,1,Kuala Lumpur,27b6e5aca,4.0,4,1,1,0,0,1,163,31
dog,2,female,Black,3,1,2,2,2,1,6,Pulau Pinang,80ebea85c,5.0,3,0,1,1,0,1,550,111
cat,12,female,Golden,2,2,1,2,1,1,2,Melaka,1bf1f95ef,1.0,4,1,0,1,0,1,38,6
cat,4,female,Black,2,1,1,1,2,1,1,Kuala Lumpur,cdab8ba8e,5.0,2,0,1,1,0,1,1802,321
dog,120,male,Black,3,1,3,3,3,1,1,Kuala Lumpur,b84dad49f,3.0,4,1,1,1,0,1,863,174
dog,3,female,Brown,2,1,2,2,2,1,1,Selangor,f0a2122d4,4.0,4,1,1,0,0,1,186,37
cat,1,mixed,Brown,1,2,2,2,2,1,4,Selangor,1104fe6bb,2.0,4,1,1,1,0,1,424,82
dog,36,female,Brown,3,2,1,1,2,1,1,Selangor,46d88ca3e,4.0,1,0,0,1,0,1,680,135
cat,3,female,Black,1,1,2,1,2,1,1,Selangor,b99d5d532,3.0,4,1,1,1,0,1,66,11
cat,60,male,Golden,2,2,1,1,2,1,1,Selangor,2b6d08cba,0.0,4,1,0,0,0,0,93,17
cat,1,female,Brown,2,1,2,1,3,1,1,Selangor,b9429dc85,4.0,1,0,1,1,0,1,327,55
dog,3,mixed,Black,2,2,1,1,2,1,3,Selangor,c61f6507e,3.0,1,0,1,1,1,1,315,62
dog,36,male,Black,3,1,1,1,1,1,1,Selangor,e464fcd4b,4.0,2,0,0,1,0,1,1453,289
dog,12,male,Black,2,2,1,2,2,1,1,Negeri Sembilan,86379f12f,1.0,2,0,0,1,1,1,1100,208
cat,1,mixed,Black,1,1,2,3,2,1,4,Kuala Lumpur,55fcdea2f,3.0,3,0,1,1,0,1,279,52
dog,0,mixed,Black,3,1,3,3,3,1,2,Selangor,392d3346e,4.0,1,0,1,1,0,1,557,116
cat,1,male,Black,1,2,2,2,2,1,1,Selangor,33db028cb,1.0,2,0,1,1,0,1,163,30
dog,5,male,Cream,2,1,1,1,1,1,1,Kuala Lumpur,35c0c3aca,6.0,3,0,0,1,0,1,90,14
dog,24,female,Black,2,2,3,3,3,1,1,Kuala Lumpur,d080818c3,3.0,3,0,0,1,0,1,448,88
dog,3,male,Brown,2,2,1,1,2,1,1,Selangor,6f0cb510a,3.0,1,0,1,0,0,1,252,53
dog,3,female,Brown,1,1,3,3,3,1,3,Negeri Sembilan,61ac3c78c,1.0,4,1,1,0,0,1,39,6
dog,4,female,Black,2,1,2,1,2,1,1,Pahang,368b2adc1,5.0,4,1,1,0,0,1,652,123
cat,3,mixed,Black,2,2,3,3,3,1,2,Selangor,2e4c1faf7,3.0,1,0,1,1,0,1,199,32
cat,1,female,Black,1,2,2,2,2,1,5,Negeri Sembilan,a85a1c8c3,3.0,2,0,1,1,0,1,149,27
cat,8,male,Brown,2,1,1,1,2,1,1,Selangor,25c7d6c3b,8.0,2,0,0,1,1,1,205,39
cat,2,mixed,Black,2,1,2,2,2,1,2,Negeri Sembilan,0b819602d,2.0,4,1,0,1,0,1,101,14
dog,32,mixed,Black,2,1,1,1,1,1,2,Selangor,4c594983d,5.0,4,1,1,1,0,1,1031,206
dog,3,mixed,Black,3,1,1,1,2,1,3,Selangor,05f99fc56,4.0,2,0,0,1,0,1,216,44
cat,12,male,Black,2,2,2,2,2,1,1,Selangor,1dfadc371,1.0,3,0,1,0,0,1,372,74
dog,4,female,Black,2,2,1,1,1,1,1,Selangor,6d9b202c9,10.0,3,0,1,1,0,1,283,57
dog,2,male,Black,2,1,2,3,2,1,1,Selangor,54791dc58,3.0,2,0,1,1,0,1,143,31
cat,7,female,Black,2,1,1,1,2,1,1,Selangor,b36616178,7.0,2,0,0,1,0,1,16,3
cat,5,male,Yellow,2,3,2,1,2,1,1,Kuala Lumpur,2ac4dd8c2,5.0,3,0,1,0,1,1,1160,210
cat,2,female,Gray,2,2,1,1,2,1,2,Kuala Lumpur,29f54c6ff,4.0,2,0,1,1,0,1,1067,204
dog,60,female,Black,2,1,1,1,1,1,1,Kuala Lumpur,48b418070,2.0,3,0,0,1,0,1,106,19
cat,4,mixed,Black,2,2,2,2,2,1,5,Kuala Lumpur,c7eac7b01,5.0,2,0,1,1,0,1,929,179
dog,120,male,Brown,2,1,1,1,2,1,2,Selangor,8e0d65b3e,1.0,1,0,0,0,0,1,66,11
dog,12,female,Brown,2,1,1,1,1,1,1,Selangor,9a34ddc8b,2.0,2,0,1,0,0,1,490,91
cat,17,female,Black,1,1,3,3,1,1,1,Selangor,ff9f62e79,3.0,3,0,1,1,0,1,404,81
cat,2,mixed,Yellow,2,1,2,2,2,1,2,Kuala Lumpur,4a6ee5d02,2.0,2,0,1,1,0,1,273,49
dog,48,male,Black,2,2,1,1,1,1,1,Selangor,474bccd75,2.0,2,0,1,1,0,1,93,20
dog,4,female,Black,2,1,1,2,2,1,1,Negeri Sembilan,e4abb93bf,2.0,3,0,1,1,0,1,64,11
cat,12,female,Golden,2,2,3,1,1,1,1,Selangor,120805f93,2.0,3,0,0,1,0,1,325,71
cat,12,male,Black,3,3,2,1,2,1,1,Selangor,2acf3fdce,2.0,1,0,0,1,0,1,152,31
cat,3,female,Gray,2,1,1,1,2,1,1,Kuala Lumpur,e1ecc1b26,3.0,2,0,1,1,0,1,406,87
dog,1,mixed,Black,2,2,2,2,2,1,3,Selangor,a8cdba660,10.0,4,1,1,1,0,1,187,36
dog,36,female,Black,3,2,3,3,3,2,1,Kuala Lumpur,9bcd62ef1,4.0,3,0,0,1,0,1,282,61
dog,12,female,Cream,2,1,3,3,3,1,1,Selangor,c3f2f166d,1.0,4,1,1,1,0,1,512,93
dog,2,female,Black,2,2,1,1,2,1,1,Pulau Pinang,687e9c33c,1.0,4,1,1,1,1,1,251,44
dog,36,male,Black,2,1,1,1,1,1,1,Perak,bb5f471dd,1.0,2,0,0,0,0,1,347,66
cat,1,mixed,Black,2,2,2,2,2,1,3,Kuala Lumpur,0aaf6976a,10.0,2,0,1,1,0,1,2087,391
cat,1,female,Yellow,1,1,2,2,2,1,1,Kuala Lumpur,45600eaab,3.0,1,0,0,1,0,1,384,73
dog,0,female,Black,2,2,3,3,3,1,5,Kuala Lumpur,dcba09ff1,5.0,1,0,1,1,0,1,147,29
dog,2,female,Brown,2,1,1,1,2,1,1,Selangor,d7f938acd,4.0,1,0,1,0,0,1,342,68
dog,2,mixed,Black,2,1,1,1,2,1,3,Selangor,ea11b6f12,3.0,3,0,1,1,1,1,411,79
dog,2,mixed,Brown,2,2,2,2,2,1,3,Selangor,3332eb59c,5.0,4,1,1,0,0,1,144,27
cat,36,mixed,Black,2,2,1,1,1,1,5,Selangor,b3e19ff68,0.0,4,1,0,1,0,0,652,121
dog,3,mixed,Brown,2,1,3,3,3,1,5,Pulau Pinang,594e3dc3f,1.0,4,1,1,1,0,1,251,49
dog,2,female,Black,2,2,1,1,2,1,1,Selangor,fbb112b7e,4.0,3,0,1,1,0,1,207,35
dog,1,female,Brown,3,1,3,1,3,1,1,Kuala Lumpur,d14d62508,2.0,2,0,1,1,0,1,665,109
cat,2,female,Black,2,1,2,1,2,1,1,Selangor,5de61cf6b,3.0,2,0,1,1,0,1,55,11
cat,2,male,Brown,1,1,2,2,2,1,1,Kuala Lumpur,b9590d4de,1.0,0,0,0,1,0,1,228,42
dog,2,female,Black,2,1,1,1,2,1,1,Selangor,747c82f83,9.0,2,0,1,1,1,1,199,36
cat,3,male,Yellow,2,1,3,1,2,1,1,Kuala Lumpur,3004c3401,3.0,4,1,1,0,0,1,342,61
dog,17,male,Black,2,2,1,1,1,1,1,Kuala Lumpur,c737c30d7,1.0,4,1,1,0,1,1,684,137
dog,2,mixed,Black,2,1,3,3,3,1,8,Kuala Lumpur,03b0568b3,5.0,3,0,1,1,0,1,168,30
cat,48,male,Black,3,1,1,1,2,1,1,Selangor,987baa1c7,4.0,2,0,0,1,1,1,689,138
cat,1,male,Black,2,1,2,2,2,1,1,Selangor,70b3d1f9c,1.0,2,0,1,1,0,1,239,56
cat,5,female,Black,2,2,2,2,2,1,1,Selangor,27456ec0f,4.0,2,0,1,1,1,1,277,45
dog,8,male,Black,2,1,3,3,1,1,1,Selangor,5c28a8cec,3.0,2,0,1,1,0,1,315,60
dog,4,female,White,1,1,1,1,1,1,1,Selangor,2c8ae4c7e,2.0,4,1,1,0,0,1,593,116
dog,3,male,Black,2,1,1,1,2,1,1,Selangor,cd7bea671,3.0,3,0,1,1,0,1,90,17
cat,72,male,Black,2,1,1,1,1,1,1,Selangor,7bda94ad0,10.0,4,1,1,1,0,1,1643,337
cat,12,female,Black,2,1,3,3,3,1,5,Kedah,ab4b4681b,4.0,4,1,1,1,0,1,24,4
dog,12,female,Black,2,2,2,1,2,1,1,Pulau Pinang,aa189a931,2.0,4,1,1,1,0,1,125,27
cat,12,male,Golden,2,1,1,1,1,1,2,Kuala Lumpur,d0bc14f47,2.0,4,1,1,1,0,1,158,24
dog,22,male,Brown,2,1,1,1,2,1,1,Kuala Lumpur,eab8c8c03,0.0,3,0,0,1,0,0,75,12
dog,36,male,Golden,2,2,3,3,2,1,1,Selangor,3b4a987ba,3.0,4,1,1,0,0,1,1401,270
dog,2,male,Cream,2,2,3,3,2,1,1,Selangor,1bbb46822,1.0,3,0,1,0,0,1,87,16
cat,4,female,Black,2,1,3,3,1,1,5,Johor,5c546c236,1.0,4,1,0,1,0,1,128,25
dog,12,female,White,2,2,1,1,2,1,1,Selangor,702bee848,5.0,2,0,1,0,0,1,464,88
dog,7,male,Black,1,1,2,2,2,1,1,Selangor,66757255c,1.0,4,1,1,1,1,1,361,70
dog,2,male,Black,2,1,2,2,2,1,1,Kuala Lumpur,0b0f596b5,4.0,1,0,1,1,0,1,26,4
dog,3,female,Brown,1,1,2,1,3,1,3,Selangor,938bcf142,2.0,4,1,1,1,0,1,304,48
dog,24,female,Brown,2,1,1,1,1,1,1,Selangor,bea72e6c5,10.0,4,1,1,1,0,1,478,87
dog,1,female,Brown,2,3,2,2,2,1,1,Selangor,52e555a3a,3.0,1,0,1,0,0,1,160,34
dog,1,female,Brown,2,1,2,2,2,1,1,Negeri Sembilan,3998bcfec,1.0,2,0,1,0,0,1,81,17
dog,3,male,Golden,3,1,1,1,2,1,2,Selangor,e62e5aa26,9.0,2,0,1,0,0,1,687,136
cat,5,male,Black,1,1,1,2,3,1,1,Kuala Lumpur,933e0a3e8,4.0,4,1,1,1,0,1,625,137
dog,16,female,Cream,1,1,1,1,3,1,1,Kuala Lumpur,1eb8a0278,3.0,1,0,0,1,0,1,245,49
cat,2,male,Golden,2,1,1,1,2,1,1,Selangor,d5df16a32,5.0,2,0,1,1,0,1,924,172
cat,2,male,Cream,1,2,3,3,3,1,1,Pulau Pinang,06296e4e2,6.0,4,1,1,0,0,1,263,47
dog,7,male,Brown,2,1,1,1,3,1,1,Selangor,207d61997,8.0,1,0,0,0,0,1,161,32
cat,13,female,Brown,2,1,2,1,2,1,1,Selangor,38a81271c,5.0,4,1,1,1,0,1,579,114
dog,3,male,Black,2,1,1,1,1,1,1,Selangor,65d10be4d,3.0,3,0,1,1,0,1,307,60
dog,12,male,Black,2,1,1,1,2,1,1,Selangor,c7b468b32,1.0,4,1,1,1,0,1,8,1
cat,3,male,Black,1,1,1,1,2,1,1,Kuala Lumpur,6df350974,9.0,2,0,1,1,0,1,1286,243
dog,2,female,Black,2,2,2,2,2,1,1,Selangor,249112486,1.0,4,1,1,1,0,1,244,42
cat,10,female,Yellow,2,1,1,1,1,1,1,Kuala Lumpur,8f85e69ee,8.0,3,0,1,0,0,1,283,53
dog,2,female,Yellow,2,1,2,1,2,1,1,Selangor,b243b8e93,5.0,1,0,1,1,0,1,753,149
dog,2,male,Black,2,1,2,2,2,1,1,Selangor,89523a695,2.0,3,0,1,1,0,1,503,104
cat,4,female,Black,3,1,2,2,2,1,1,Kuala Lumpur,4f0eacbdd,8.0,1,0,1,1,0,1,10,3
dog,60,male,Brown,2,2,1,1,1,1,1,Selangor,b5fcc079e,5.0,3,0,0,1,0,1,999,202
cat,2,female,Black,2,1,2,2,2,1,6,Selangor,53976b229,6.0,4,1,1,1,1,1,692,131
cat,12,female,Brown,2,1,1,1,1,1,1,Kuala Lumpur,f4ed1a08e,2.0,4,1,1,1,0,1,619,120
cat,2,female,Black,1,1,2,2,2,1,1,Selangor,2f3227612,5.0,1,0,1,1,0,1,699,116
cat,0,mixed,Brown,2,1,2,2,2,2,3,Selangor,ba66a7a82,1.0,1,0,0,1,0,1,112,27
dog,2,mixed,Cream,3,1,1,1,2,1,3,Selangor,d4e83ee5b,8.0,3,0,1,1,0,1,307,50
cat,6,female,Golden,2,1,2,1,1,1,1,Selangor,00a1f270a,5.0,4,1,1,1,0,1,8,1
dog,3,female,Black,3,1,3,3,2,1,1,Selangor,74e316be1,2.0,2,0,1,1,0,1,117,21
dog,1,female,Black,2,2,2,1,2,1,1,Selangor,039509c40,4.0,1,0,1,0,0,1,380,78
dog,2,female,Black,1,1,2,2,2,1,4,Pulau Pinang,eeb60466e,5.0,1,0,1,1,0,1,670,125
cat,3,male,Yellow,2,2,2,2,2,1,1,Selangor,c6cdbebfa,3.0,1,0,1,1,1,1,152,28
dog,19,female,Black,2,1,1,1,1,1,1,Selangor,82137b39f,3.0,4,1,1,0,1,1,536,104
cat,11,female,Black,2,1,1,1,1,1,1,Selangor,28b64c198,5.0,4,1,1,1,1,1,197,37
dog,37,female,Brown,2,1,1,1,1,1,1,Selangor,f70251906,5.0,4,1,1,1,0,1,532,104
cat,4,female,Black,1,3,2,2,3,1,1,Selangor,9d76ed82f,3.0,2,0,0,1,1,1,184,32
dog,3,male,Cream,2,1,2,1,1,1,1,Kuala Lumpur,e83f846eb,6.0,1,0,1,0,0,1,61,12
dog,6,male,Black,2,1,1,1,1,1,1,Selangor,60b9421cc,1.0,3,0,1,1,0,1,493,94
cat,1,female,Golden,2,1,2,2,2,1,1,Selangor,72a7cb335,7.0,2,0,1,1,0,1,269,52
dog,5,male,Black,2,1,3,3,3,1,1,Selangor,0bd4aed6b,0.0,4,1,1,1,0,0,10,2
dog,1,mixed,Black,2,1,2,2,2,1,6,Selangor,ae03f99f2,5.0,3,0,1,0,0,1,846,161
cat,7,male,Black,2,1,2,1,2,1,1,Kuala Lumpur,5a1010bca,2.0,2,0,1,1,0,1,176,32
dog,4,female,Black,2,2,2,1,2,1,1,Kuala Lumpur,6a5c652b5,1.0,4,1,1,1,1,1,126,25
cat,1,female,Black,2,1,2,2,2,1,1,Selangor,040771e8e,0.0,4,1,1,1,0,0,435,88
dog,48,female,Brown,2,1,1,1,1,1,1,Selangor,706a9cd5c,1.0,3,0,1,0,0,1,198,38
